AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
M. Gweneth Humphreys Award	$null$	1.0	0.0	0.0	0.0	1.0	2019-01-01T00:00:00Z	2019-01-01T00:00:00Z	Suzanne Weekes
MJD White Medal	award presented by Genetics Society of Australasia	0.0	1.0	0.0	0.0	0.5	2018-01-01T00:00:00Z	2018-01-01T00:00:00Z	Neil Gemmell
MRS Medal Award	science award	3.0	35.0	0.0	0.0	3.338936949148774e-08	1990-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alexander A. Balandin; Arthur J. Freeman; Bernard S. Meyerson; C. Jeffrey Brinker; Charles M. Lieber; Darrell G. Schlom; Dieter Gruen; Donald Huffman; Federico Capasso; Gerbrand Ceder; Jacob Israelachvili; James F. Scott; Jennifer A. Lewis; Jerry Tersoff; Joanna Aizenberg; John A. Rogers; Kenneth S. Suslick; L. Eric Cross; M. George Craford; Mark Thompson; Mathew Mate; Max G. Lagally; Mercouri Kanatzidis; Miquel B. Salmerón; Norman C. Bartelt; Omar M. Yaghi; Peidong Yang; Richard Kaner; Robert Cava; Samuel I. Stupp; Sharon Glotzer; Shigeyuki Somiya; Shuji Nakamura; Stephen J. Pennycook; Uzi Landman; Walter de Heer; William L. Johnson; Younan Xia
MacArthur Fellows Program	prizes awarded annually by the John D. and Catherine T. MacArthur Foundation	120.0	170.0	0.0	0.0	0.001966668256412385	1981-01-01T00:00:00Z	2020-01-01T00:00:00Z	A. K. Ramanujan; Adam Riess; Adrian Nicole LeBlanc; Adrian Wilson; Adrienne Rich; Alan Walker; Alex Ross; Alfonso Ortiz; Ali Akbar Khan; Alison Des Forges; Allan Wilson; Alma Guillermoprieto; Alvin Bronstein; Amalia Mesa-Bains; Amir Abo-Shaeer; Amy B. Smith; Amy Clampitt; Amy Rosenzweig; Anders Winroth; Andrea Dutton; Andrew W. Lewis; Andrew Wiles; Angela Duckworth; Ann Hamilton; Anna Deavere Smith; Anne Carson; Annie Baker; Annie Dorsen; Anthony Braxton; Arthur Mitchell; Atul Gawande; Barbara McClintock; Ben Katchor; Benjamin D. Santer; Benoît Rolland; Bernice Johnson Reagon; Betsy Levy Paluck; Bill Siemering; Bill Strickland; Bill Viola; Billie Young; Brian Tucker; Bryan Stevenson; Béla Julesz; Cameron Rowland; Camilo José Vergara; Carl Woese; Carol Padden; Caroline Bynum; Carolyn Bertozzi; Carolyn D. Wright; Carrie Mae Weems; Cecil Taylor; Cecilia Muñoz; Charles Burnett; Charles C. Steidel; Charles R. Johnson; Charles S. Peskin; Chimamanda Ngozi Adichie; Claire J. Tomlin; Claudia Ra
Magellanic Premium	American science award	2.0	34.0	0.0	0.0	9.706127457320687e-09	1790-01-01T00:00:00Z	2014-01-01T00:00:00Z	Alar Toomre; Bill Pickering; Bradford Parkinson; Charles D. Brodie; Charles Stark Draper; Edward C. Stone; Edward L. Beach, Jr.; Francis Hopkinson; Gordon Pettengill; James Ewing; James Gilbert Baker; James Pollard Espy; Jocelyn Bell Burnell; John Carlstrom; John Garnett; Joseph Hooton Taylor; Josiah Chapman; Karl von Frisch; Lewis M. Haupt; Lyman James Briggs; Martin Lindauer; Nicholas Collin; P. V. H. Weems; Paul M. Muller; Paul R. Heyl; Pliny Chase; Ralph Asher Alpher; Robert Herman; Robert Patterson; Roger L. Easton; Stuart William Seeley; Wendy Freedman; William H. Guier; William L. Sjogren; William Mugford; William Thornton
Maltsev Prize	$null$	0.0	1.0	0.0	0.0	0.5	1997-01-01T00:00:00Z	1997-01-01T00:00:00Z	Sergey Goncharov
Manning Innovation Awards	$null$	0.0	2.0	0.0	0.0	0.25	1995-01-01T00:00:00Z	2010-01-01T00:00:00Z	Kenneth O. Hill; Kenneth Standing
Manson Medal	$null$	0.0	16.0	0.0	0.0	1.52587890625e-05	1923-01-01T00:00:00Z	2016-01-01T00:00:00Z	Brian Greenwood; Charles Morley Wenyon; David Bruce; David Weatherall; Ettore Marchiafava; John Alexander Sinton; Leonard Goodwin; Leonard Rogers; Neil Hamilton Fairley; Peter Piot; Ralph Lainson; Ronald Ross; Theobald Smith; Wallace Peters; William Trager; Émile Brumpt
Marc Yor Award	$null$	0.0	1.0	0.0	0.0	0.5	2017-01-01T00:00:00Z	2017-01-01T00:00:00Z	Charles Bordenave
Marcel Benoist Prize	Swiss scientific prize	2.0	71.0	0.0	0.0	2.860853779351398e-19	1921-01-01T00:00:00Z	2019-01-01T00:00:00Z	Albert Frey-Wyssling; Albert Heim; Alexander Muralt; Alfred Fleisch; Alfred Gysi; Aloys Müller; Anton Christian Fonio; Ari Helenius; Bruno Messerli; Charles Dhéré; Charles Weissmann; Conrad Brunner; Edgar Heilbronner; Ernst Albert Gäumann; Ernst Hadorn; Ewald Weibel; Franz Fankhauser; Françoise Gisou van der Goot; Friedrich Traugott Wahlen; Gazi Yaşargil; Georg Bednorz; Gerold Schwarzenbach; Gottfried Schatz; Hans H. Günthard; Hans J. Moor; Hans Kummer; Harald Reuter; Heinrich Zangger; Henri Isliker; Hermann Mooser; Jakob Eugster; Jakob Seiler; Jean Lindenmann; Johan Auwerx; Jules Gonin; Jörg Paul Müller; Jürg Fröhlich; Karl Alexander Müller; Karl Illmensee; Klaus Clusius; Kurt Mühlethaler; Kurt Wüthrich; Laurent Keller; Leopold Ružička; Martin Allgöwer; Martin Ernst Schwab; Maurice Edmond Müller; Michael N. Hall; Michel Cuénod; Michel Dolivo; Michel Mayor; Michele Parrinello; Nicola Spaldin; Nicolas Gisin; Niels Kaj Jerne; Niklaus Wirth; Otto Gsell; Paul Niggli; Paul Scherrer; Richard
Marcel Grossmann Award	$null$	1.0	11.0	0.0	0.0	0.0031738281250000004	1989-01-01T00:00:00Z	2015-01-01T00:00:00Z	Christine Jones Forman; Filippo Frontera; Francis Everitt; James R. Wilson; Joachim Trümper; Ken'ichi Nomoto; Michael Kramer; Minoru Oda; Sachio Hayakawa; Stephen Hawking; Subrahmanyan Chandrasekhar; Yuval Ne'eman
Marcel Vincent Price	$null$	2.0	13.0	0.0	0.0	0.003692626953124999	1978-10-01T00:00:00Z	2012-10-01T00:00:00Z	Albert Legault; André Blais; Bernard Bernier; Charles Morin; Georges Dionne; Georges Michaud; Gilles Marcotte; Guy Rocher; Gérald Beaudoin; Hélène Dumont; Jean-Marie Dufour; Marc LeBlanc; Maurice Tardif; Roger M. Leblanc; Suzanne Rivard
Marconi Prize	information and communications technology award	0.0	35.0	0.0	0.0	2.9103830456733704e-11	1959-01-01T00:00:00Z	2017-01-01T00:00:00Z	Allan Snyder; Andrew Viterbi; Arogyaswami Paulraj; Arthur C. Clarke; Arthur Leonard Schawlow; Arun Netravali; Bradford Parkinson; Charles Geschke; Claude Berrou; Dave Forney; David N. Payne; Eric Ash; Federico Faggin; Gottfried Ungerboeck; Henry Samueli; Hiroshi Inose; Irwin M. Jacobs; Izuo Hayashi; James Rhyne Killian; John Cioffi; John R. Pierce; John Warnock; Larry Page; Martin Cooper; Martin Edward Hellman; Nello Carrara; Paul Baran; Peter T. Kirstein; Robert G. Gallager; Robert Metcalfe; Sergey Brin; Seymour Papert; Vint Cerf; Whitfield Diffie; Yash Pal
Marcus Wallenberg Prize	$null$	0.0	14.0	0.0	0.0	6.103515625e-05	1983-01-01T00:00:00Z	2002-01-01T00:00:00Z	Anders Szepessy; Arne Meurman; Hakan Hedenmalm; Håkan Eliasson; Kurt Johansson; Mats Andersson; Mikael Passare; Olle Häggström; Per Salberger; Peter Ebenfelt; Pär Kurlberg; Svante Janson; Torsten Ekedahl; Warwick Tucker
Marcus Wallenberg Prize	Swedish award, for scientific achievements which contribute significantly to forestry and forest industries. Award value is 2 million Swedish Crowns (SEK)	1.0	0.0	0.0	0.0	1.0	2003-01-01T00:00:00Z	2003-01-01T00:00:00Z	Johanna Buchert
Margaret W. Rossiter History of Women in Science Prize	award from the History of Science Society	17.0	0.0	0.0	0.0	1.0	1987-01-01T00:00:00Z	2019-01-01T00:00:00Z	Amy Sue Bix; Ann Hibner Koblitz; Conevery Bolton Valencius; Elaine Leong; Ida Stamhuis; Kara W. Swanson; Kimberly A. Hamlin; Laura Micheletti Puaca; Linda Lear; Marsha Richmond; Monica Green; Naomi Oreskes; Paula Findlen; Pnina G. Abir-Am; Regina Morantz-Sanchez; Sally Gregory Kohlstedt; Yi-Li Wu
Margit Påhlson Prize	$null$	2.0	11.0	0.0	0.0	0.011230468750000002	1984-01-01T00:00:00Z	2009-01-01T00:00:00Z	Bengt Loman; Bengt Sigurd; Bertil Molde; Claes-Christian Elert; Gunnar Fant; Gunvor Margareta Widmark; Lennart Elmevik; Lennart Moberg; Marketta Sundman; Olle Josephson; Sture Allén; Thorsten Andersson; Ulf Teleman
Maria Goeppert-Mayer Award	award in physics	26.0	0.0	0.0	0.0	1.0	1986-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alessandra Lanzara; Alice E. White; Amy Barger; Ana María Rey; Andrea M. Ghez; Barbara Cooper; Barbara Hope Cooper; Cherry Ann Murray; Chung-Pei Ma; Elizabeth Beise; Ellen D. Williams; Ewine van Dishoeck; Gretchen Campbell; Hui Cao; Jacqueline Hewitt; Janet Conrad; Judith Young; Laura Greene; M. Lisa Manning; Maiken H Mikkelsen; Margaret M. Murnane; Marjorie Ann Olmstead; Saskia Mioduszewski; Sharon Glotzer; Vasiliki Kalogera; Yuri Suzuki
Marian Smoluchowski and Emil Warburg Prize for Physics	science award	0.0	10.0	0.0	0.0	0.0009765625	1997-01-01T00:00:00Z	2017-01-01T00:00:00Z	Andrzej Białas; Andrzej Buras; Andrzej L. Sobolewski; Andrzej Michał Oleś; Andrzej Warczak; Fritz Haake; Krzysztof Redlich; Ludger Wöste; Peter Fulde; Werner Hofmann
Markov Prize	INR physics prize	0.0	5.0	0.0	0.0	0.03125	1971-01-01T00:00:00Z	2005-01-01T00:00:00Z	Alexander Holevo; Gennadiy Arhipov; Vadim Kuzmin; Valery Rubakov; Vladimir Zolotarev
Marlow Award	award granted by the Royal Society of Chemistry	2.0	30.0	0.0	0.0	1.23167410492897e-07	1957-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alan Carrington; Alastair M. North; Alessandro Troisi; Andrew Goodwin; Andrew Orr-Ewing; Angelos Michaelides; Artem A. Bakulin; David Eusthatios Manolopoulos; David Logan; Frederick R. Manby; Geoffrey Luckhurst; Godfrey S. Beddard; Graham Fleming; Graham Richards; Helen Fielding; Jim Baggott; John Paul Maier; John Polanyi; John Shipley Rowlinson; Jonathan A. Jones; Jonathan Essex; Jonathan N. L. Connor; Jonathan P. Reid; Patrick R. Unwin; Peter Gray; Philipp Kukura; Robert B. Best; Sharon Ashbrook; Stefan Willitsch; Stephen Keith Scott; Steven F. Lee; Stuart A. Rice
Marsden Medal	New Zealand science award	3.0	8.0	0.0	0.0	0.11328125000000001	2000-01-01T00:00:00Z	2019-01-01T00:00:00Z	Brian Robinson; Carolyn Burns; David Penny; Ian Gordon Speden; Keith Hunter; Kevin Tate; Margaret Brimble; Paula Elizabeth Jameson; Roger Curtis Green; Timothy Haskell; Warren Tate
Marsh Award for Conservation Biology	$null$	1.0	0.0	0.0	0.0	1.0	2001-01-01T00:00:00Z	2001-01-01T00:00:00Z	Eleanor Jane Milner-Gulland
Martin Warnke Medal	science award	18.0	22.0	0.0	0.0	0.31791400131442055	1995-01-01T00:00:00Z	2017-01-01T00:00:00Z	Anke te Heesen; Anne Duden; Barbara Maria Stafford; Barbara Wittmann; Carla Hesse; Christoph Asendorf; Cornelia Zumbusch; Diane Bodart; Egon Flaig; Elisabeth Bronfen; Elizabeth McGrath; Eva Schürmann; Frank Fehrenbach; Gabriele Brandstetter; Georges Didi-Huberman; Gerd Blum; Gustav Seibt; Herfried Münkler; Jacqueline E. Jung; Jeroen Stumpel; Joan Branham; Jochen Hörisch; Karl-Siegbert Rehberg; Lambert Wiesing; Marina Warner; Martin Jay; Michael Giesecke; Michael Hagner; Mischa Meier; Renate Schlesier; Roberto Calasso; Rüdiger Campe; Sigrid Weigel; Silvia Eiblmayr; Simone Michel; Sven Beckert; Thomas Macho; Ulrich Raulff; Wolfgang Schivelbusch; Wolfgang Ullrich
Mary Clark Thompson Medal	$null$	0.0	26.0	0.0	0.0	1.4901161193847656e-08	1921-01-01T00:00:00Z	2012-01-01T00:00:00Z	Alfred George Fischer; Alfred Romer; Amadeus William Grabau; Andrew H. Knoll; Arthur Smith Woodward; Charles Doolittle Walcott; Charles Schuchert; D. M. S. Watson; David White; Edward Oscar Ulrich; Edward Wilber Berry; Emmanuel de Margerie; Francis Arthur Bather; G. Arthur Cooper; George Gaylord Simpson; Harry B. Whittington; Hollis Dow Hedberg; J. William Schopf; John M. Clarke; Lauge Koch; Norman D. Newell; Raymond Cecil Moore; Roman Kozłowski; Steven M. Stanley; William Berryman Scott; William Joscelyn Arkell
Mary Lyon Medal	Award conferred by The Genetics Society	3.0	1.0	0.0	0.0	0.9375	2015-01-01T00:00:00Z	2019-01-01T00:00:00Z	Loeske Kruuk; Oliver G. Pybus; Petra Hajkova; Sarah Teichmann
Maryam Mirzakhani New Frontiers Prize	Mathematics award for young female mathematicians	3.0	0.0	0.0	0.0	1.0	2021-01-01T00:00:00Z	2021-01-01T00:00:00Z	Lisa Piccirillo; Nina Holden; Urmila Mahadev
Maryam Mirzakhani Prize in Mathematics	award	1.0	0.0	0.0	0.0	1.0	2000-01-01T00:00:00Z	2000-01-01T00:00:00Z	Ingrid Daubechies
Mason Durie Medal	social sciences award in New Zealand	1.0	2.0	0.0	0.0	0.5	2012-01-01T00:00:00Z	2016-01-01T00:00:00Z	Charles Higham; Russell Gray; Viviane Robinson
Massry Prize	$null$	0.0	10.0	0.0	0.0	0.0009765625	2004-01-01T00:00:00Z	2018-01-01T00:00:00Z	Harry F. Noller; James Thomson; Jeffrey C. Hall; Jeffrey I. Gordon; Michael E. Phelps; Norman R. Pace; Peter Hegemann; Peter J. Ratcliffe; Steven Rosenberg; William G. Kaelin
Mathematical Neuroscience Prize	$null$	1.0	4.0	0.0	0.0	0.1875	2013-01-01T00:00:00Z	2017-01-01T00:00:00Z	Bard Ermentrout; Fred Alan Wolf; Haim Sompolinsky; Larry Abbott; Nancy Kopell
Matteucci Medal	award	2.0	70.0	0.0	0.0	5.567124045828892e-19	1868-01-01T00:00:00Z	2017-01-01T00:00:00Z	Abdus Salam; Adalberto Giazotto; Albert A. Michelson; Albert Einstein; Anatole Abragam; Antonino Lo Surdo; Antonio Garbasso; Antonio Pacinotti; Arnold Sommerfeld; Arthur Compton; Augusto Righi; Bruno Rossi; Bruno Touschek; C. V. Raman; Claude Cohen-Tannoudji; David Ruelle; Enrico Fermi; Ernest Rutherford; Erwin Schrödinger; Franco Rasetti; Freeman Dyson; Frédéric Joliot-Curie; Gian-Carlo Wick; Giorgio Bellettini; Guglielmo Marconi; Gustav Heinrich Wiedemann; Gustav Kirchhoff; Heike Kamerlingh Onnes; Heinrich Rudolf Hertz; Hendrik Casimir; Henri Poincaré; Henri Victor Regnault; Henry Augustus Rowland; Henry Moseley; Hermann von Helmholtz; Ioannis Iliopoulos; Irène Joliot-Curie; Jack Steinberger; James Dewar; Jean Perrin; Johannes Stark; John Archibald Wheeler; John Strutt, 3rd Baron Rayleigh; Lawrence Bragg; Lev Okun; Luciano Maiani; Manuel Cardona Castro; Marco Tavani; Marie Curie; Max von Laue; Nicola Cabibbo; Niels Bohr; Oreste Piccioni; Orso Mario Corbino; Philipp Lenard; Pierre Cur
Mauriz Balzarek Prize	$null$	0.0	5.0	0.0	0.0	0.03125	1992-01-01T00:00:00Z	2012-01-01T00:00:00Z	Franz Riepl; Friedrich Achleitner; Hans Puchhammer; Johannes Spalt; Roland Ertl
Max Born Award	Optical Society award	0.0	3.0	0.0	0.0	0.125	1989-01-01T00:00:00Z	2017-01-01T00:00:00Z	Dietrich Marcuse; Miles J. Padgett; Samuel L. McCall
Max Planck Medal	science award of the Deutsche Physikalische Gesellschaft	1.0	84.0	0.0	0.0	2.2230478962362622e-24	1929-01-01T00:00:00Z	2021-01-01T00:00:00Z	Albert Einstein; Alexander Markovich Polyakov; Andrzej Buras; Arnold Sommerfeld; Bruno Zumino; Carl Friedrich von Weizsäcker; David Ruelle; Detlef Lohse; Detlev Buchholz; Dieter Vollhardt; Elliott H. Lieb; Enrico Fermi; Ernst Stueckelberg; Erwin Schrödinger; Eugene Wigner; Franz Wegner; Freeman Dyson; Friedrich Hund; George Uhlenbeck; Gerald E. Brown; Gerhart Lüders; Giorgio Parisi; Gregor Wentzel; Gustav Ludwig Hertz; Hans Bethe; Hans-Arwed Weidenmüller; Hans-Jürgen Borchers; Harry Lehmann; Herbert Fröhlich; Herbert Spohn; Herbert Wagner; Hermann Haken; James Franck; Joel Lebowitz; Juan Ignacio Cirac Sasturain; Julius Wess; Jürg Fröhlich; Jürgen Ehlers; Klaus Hepp; Kurt Binder; Kurt Symanzik; Lev Landau; Lise Meitner; Louis de Broglie; Ludvig Faddeev; Léon Van Hove; Markus Fierz; Martin Gutzwiller; Martin Lüscher; Martin Zirnbauer; Max Born; Max Planck; Max von Laue; Nicholas Kemmer; Niels Bohr; Nikolai Bogolyubov; Oskar Klein; Otto Hahn; Pascual Jordan; Paul Dirac; Paul Peter Ewald; 
Max Planck Research Award	science award of the Max Planck Society and the Alexander von Humboldt Foundation	8.0	138.0	0.0	0.0	5.008462628666299e-32	1990-01-01T00:00:00Z	2016-01-01T00:00:00Z	Aditi Lahiri; Adolf Hoffmann; Aleida Assmann; Alexander Bradshaw; Alexander Patschovsky; Alexander Varshavsky; Alfred Nordheim; Alfred Trautwein; Andreas Engel; Andreas Griewank; Arthur Konnerth; Axel Zeeck; Barbara Partee; Bernhard Fleckenstein; Bernt Krebs; Bonnie Bassler; Bruno Zumino; C. Lewis Cocke; Chang C. Tsuei; Chava Lifshitz; Christof Wetterich; Daniel Kleppner; David Cox; David E. Aspnes; David N. Seidman; David Phillip Woodruff; Detlev F. Vagts; Dieter G. Weiss; Dieter Hoppe; Dieter Nohlen; Dietrich Haarer; Endel Lippmaa; Ernst-Detlef Schulze; Eugene E. Haller; Eugene Myers; F. P. Schäfer; Felix Otto; Frank Kolb; Fred Gage; Friedrich Pukelsheim; Gerd Gudehus; Gianni Vattimo; Gisbert Winnewisser; Gregory Petsko; Gérard Iooss; Gérard Maugin; Géza Alföldy; Günther Schütz; Hans Joas; Hans Kamp; Hans-Christian Pape; Hans-Jürgen Herrmann; Hans-Walter Heldt; Hartmut Graßl; Helmut Knözinger; Helmut Schwarz; Helmut Werner; Henri Brunner; Herbert Gleiter; Herbert Spohn; Hermann Gaub;
Maxwell Finland Award	American science award	2.0	27.0	0.0	0.0	8.121132850646968e-07	1989-01-01T00:00:00Z	2017-01-01T00:00:00Z	Albert Lasker; Anthony Fauci; Arthur Ashe; Dale Bumpers; Elizabeth Dole; George H. McCracken, Jr.; George L. Drusano; George McCracken; Herbert L. DuPont; Jerome O. Klein; John G. Bartlett; Joshua Lederberg; Martin S. Hirsch; Mary Lasker; Maurice Hilleman; Michael Ellis DeBakey; Myron M. Levine; Paul A. Offit; Paul Rogers; R. Gordon Douglas; R. Palmer Beasley; Richard L. Guerrant; Richard P. Wenzel; Robert Austrian; Robert C. Moellering; Robert C. Moellering, Jr.; Samuel Katz; Stanley Falkow; Stanley Plotkin
Maxwell Medal and Prize	the Institute of Physics (IOP) annual award made for outstanding contributions to theoretical physics, mathematical or computational physics and intended to recognise physicists early in their careers	0.0	1.0	0.0	0.0	0.5	1976-01-01T00:00:00Z	1976-01-01T00:00:00Z	Stephen Hawking
McKay Hammer Award	award given by the Geoscience society of New Zealand for contributions to geology	0.0	1.0	0.0	0.0	0.5	1977-01-01T00:00:00Z	1977-01-01T00:00:00Z	Ian Gordon Speden
Medal of Russian Academy of Sciences for Young Scientists in General Physics and Astronomy	$null$	0.0	2.0	0.0	0.0	0.25	1999-01-01T00:00:00Z	2009-01-01T00:00:00Z	Viktor Argonov; Yefim Khazanov
Medalla de Honor al Fomento de la Invención	$null$	0.0	18.0	0.0	0.0	3.814697265625e-06	1977-01-01T00:00:00Z	2013-01-01T00:00:00Z	Alberto Portera; Antonio García-Bellido; Antonio Hernando Grande; Avelino Corma Canós; Carlos Ferrer Salat; Enrique Moreno González; Francisco Grande Covián; Francisco Sánchez Martínez; José Calavera Ruiz; José Luis López Gómez; José Manuel Rodriguez Delgado; José María Oriol; José María Otero de Navascués; Julio Rodríguez Villanueva; Manuel Lora-Tamayo; Manuel Toharia; Mariano Barbacid; Ángel Vian Ortuño
Medawar Prize	scientific award	0.0	6.0	0.0	0.0	0.015625	1998-01-01T00:00:00Z	2016-08-22T00:00:00Z	Fritz Bach; Georges Mathé; Jean-Paul Soulillou; Pekka Häyry; Peter Morris; René Küss
Mendel Medal	American science award	4.0	39.0	0.0	0.0	1.554076334286946e-08	1929-01-01T00:00:00Z	2015-01-01T00:00:00Z	Ahmed Zewail; Alfred M. Bongiovanni; Brian Kobilka; Charles A. Hufnagel; Charles Hard Townes; Eugene M. K. Geiling; Francis Collins; Francis Owen Rice; Francis Patrick Garvan; Frank Piasecki; George Coyne; George Sperti; Georges Lemaître; Holmes Rolston III; Hugh Stott Taylor; James Augustine Shannon; James B. Macelwane; Janet Rowley; John Albert Kolmer; John C. Hubbard; John Montgomery Cooper; Joseph A. Becker; Joseph DeSimone; Julius Arthur Nieuwland; Kenneth R. Miller; Margaret D. Lowman; Maxine Singer; Michael Ellis DeBakey; Paul Farmer; Peter C. Doherty; Peter Debye; Peter H. Raven; Phillip Sharp; Pierre Teilhard de Chardin; Ralph F. Hirschmann; Robert G. Webster; Robert M. White; Ruth Patrick; Sylvester James Gates; Thomas Parran, Jr.; Victor A. McKusick; W. Ian Lipkin; William J. Thaler
MetLife Promising Investigator Award	award for research on Alzheimer's Disease	1.0	2.0	0.0	0.0	0.5	1998-01-01T00:00:00Z	2012-01-01T00:00:00Z	David M. Holtzman; Karen Ashe; Randall J. Bateman
Metlife Foundation Award for Medical Research in Alzheimer's Disease	award for medical research	3.0	23.0	0.0	0.0	4.3988227844238274e-05	1986-01-01T00:00:00Z	2015-01-01T00:00:00Z	Alison Goate; Berisłav V. Zloković; Bruce A. Yankner; Christian Haass; Clifford Jack; David M. Holtzman; Dennis J. Selkoe; Dennis W. Dickson; Edward Koo; Ellen M. Wijsman; Gerard D. Schellenberg; John C. Morris; Lary C. Walker; Mathias Jucker; Michael L. Hutton; Michael S. Wolfe; Philip C. Wong; Randall J. Bateman; Robert D. Terry; Robert Vassar; Ronald C. Petersen; Sangram S. Sisodia; Steven G. Younkin; Thomas D. Bird; Virginia Man-Yee Lee; William E. Klunk
Meyer-Struckmann Prize for Humanities and Social Sciences	$null$	1.0	9.0	0.0	0.0	0.010742187499999998	2006-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alain Schnapp; Florian Coulmas; Harald Weinrich; Hartmut Böhme; Herfried Münkler; Horst Bredekamp; Ian Kershaw; Jan-Dirk Müller; Ursula Wolf; Winfried Schulz
Michael Faraday Prize	award	3.0	19.0	0.0	0.0	0.000427722930908203	1986-01-01T00:00:00Z	2017-01-01T00:00:00Z	Andrea Sella; Charles Taylor; Christopher Zeeman; Colin Blakemore; David Attenborough; Fran Balkwill; Frank Close; Harry Kroto; Ian Fells; Ian Stewart; Jocelyn Bell Burnell; John David Barrow; Kathy Willis; Lewis Wolpert; Marcus du Sautoy; Mark Miodownik; Martin Rees; Paul Davies; Richard Fortey; Richard Gregory; Robert Winston; Walter Bodmer
Miklós Ybl Prize	architectural prize	5.0	127.0	0.0	0.0	5.910266577131436e-32	1953-01-01T00:00:00Z	2017-01-01T00:00:00Z	Alfréd Hajós; András Csángó; András Ferkai; Antal Lázár; Antal Plesz; Antal Puhl; Attila Turi; Bajnay László; Bertalan Árkay; Brenner János; Béla Borvendég; Csaba Bodonyi; Csaba Csontos; Dezső Ekler; Dezső Töreky; Dénes Komárik; Ferenc Callmeyer; Ferenc Callmeyer; Ferenc Cságoly; Ferenc Török; Ferenc Vámossy; Frigyes Pogány; Gedeon Gerlóczy; Gyula Hajnóczi; Gyula Istvánfi; Gyula Rimanóczy; György Jánossy; György Kévés; György Kővári; György Skardelli; György Szrogh; György Szrogh; György Vadász; György Vedres; Gábor Preisich; Gábor Turányi; Gábor Winkler; Gábor Zoboki; Harsányiné Vladár Ágnes; Imre Bálint; Imre Makovecz; István Balogh; István Batka; István Ferencz; István Janáky; István Kiss; István Medgyaszay; István Menyhárd; István Novák; István Nyiri; István Szabó; István Szenes; Iván Kotsis; Iván Nagy; Jenő Rados; Jenő Rimanóczy; Jenő Szendrői; Judit Osskó; János Flach; János Pomsár; József Finta; József Finta; József Fischer; József Getto; József Kerényi; József Király; József Kö
